Rank	Coffee Store Name	Rating	Zipcode
21	The Burnt Coffee	5.0	98107
22	The Living Room Cafe	5.0	98107
23	Santo Coffee	5.0	98107
24	Kj’s Koffee	5.0	98107
25	Yellow Butterfly Coffee	5.0	98107
26	Distant World Coffeehouse	5.0	98107
27	Assembly	5.0	98107
28	Peloton	5.0	98107
29	Rey Amargo Chocolate Shop	4.5	98107
30	Metropolitan Cafe	4.5	98107
31	Caffe Umbria	4.5	98107
32	Urban Luxe Cafe	4.5	98107
33	Cafe An'Clair	4.5	98107
34	Cafe Madeline	4.5	98107
35	PIM Bicycles and Coffeehouse	4.5	98107
36	The Bridge Coffee House	4.5	98107
37	Aroom Coffee	4.5	98107
38	Rapha - Seattle	4.5	98107
39	Hydrate Juice Bar	4.5	98107
40	Coffeemind	4.5	98107
41	Lune Cafe	4.5	98107
42	Red Arrow Coffee	4.5	98107
43	Overcast Coffee Bar	4.5	98107
44	Phin	4.5	98107
45	Queen Anne Coffee	4.5	98107
46	Cafe Argento	4.5	98107
47	Monorail Espresso	4.5	98107
48	Brown Study Coffee Space	4.5	98107
49	Arosa Cafe	4.5	98107
50	Monorail Espresso	4.5	98107
1	FLEUR	5.0	98108
2	ʔálʔal Cafe - By Chief Seattle Club	5.0	98108
3	The Shop by Porter	5.0	98108
4	Winnies Cafe & Deli	5.0	98108
5	Rock N Robins Espresso	5.0	98108
6	Animated Cafe	5.0	98108
7	Highland Park Corner Store	5.0	98108
8	Mighty Mugs Coffee - Burien	5.0	98108
9	Tab Milktea	5.0	98108
10	Nevzat's Espresso	5.0	98108
11	Creamy Cone Cafe	5.0	98108
12	Coffee Tree & Bop	5.0	98108
13	Pike Street Coffee	5.0	98108
14	Cafe Red	5.0	98108
15	Resistencia Coffee	5.0	98108
16	Bright Spot	5.0	98108
17	Youngstown Coffee	5.0	98108
18	Realfine Coffee	5.0	98108
19	Yellow Butterfly Coffee	5.0	98108
20	Peloton	5.0	98108
21	Sound & Fog	4.5	98108
22	Realfine Coffee	4.5	98108
23	Tuk Town Espresso	4.5	98108
24	Cafetal Quilombo	4.5	98108
25	Coffeeholic House	4.5	98108
26	PIM Bicycles and Coffeehouse	4.5	98108
27	Voi Cà Phê	4.5	98108
28	The Birdhouse -West Seattle	4.5	98108
29	Baked From The Hart	4.5	98108
30	Mica's Sweet Coffee Trujillo	4.5	98108
31	Lune Cafe	4.5	98108
32	The Station	4.5	98108
33	Phin	4.5	98108
34	On Safari Espresso	4.5	98108
35	West Bay Coffee and Smoothies	4.5	98108
36	Onda Origins Cafe & Roastery	4.5	98108
37	Ghost Alley Espresso	4.5	98108
38	Fresh Flours	4.5	98108
39	The Flora Bakehouse	4.5	98108
40	City Grind	4.5	98108
41	Storyville Coffee Company	4.5	98108
42	SELEUSS Chocolates	4.5	98108
43	Amazonia Cafe	4.5	98108
44	Mighty Mugs Coffee	4.5	98108
45	Moore Coffee Shop	4.5	98108
46	La Fête Pâtisserie Française	4.5	98108
47	MarketSpice	4.5	98108
48	Shawn's Cafe and Bakery	4.5	98108
49	Seattle Best Tea	4.5	98108
50	Artly Coffee	4.5	98108
1	FLEUR	5.0	98109
2	ʔálʔal Cafe - By Chief Seattle Club	5.0	98109
3	The Shop by Porter	5.0	98109
4	Basecamp Cafe	5.0	98109
5	The Dailies	5.0	98109
6	Overcast Coffee Company	5.0	98109
7	Seeking Kombucha	5.0	98109
8	Avole Ethiopian Coffee	5.0	98109
9	Evoke Cafe Bar	5.0	98109
10	Mas Cafe	5.0	98109
11	Two Kick	5.0	98109
12	Coping Cookies	5.0	98109
13	Coffee Tree & Bop	5.0	98109
14	Pike Street Coffee	5.0	98109
15	Konvene Coffee	5.0	98109
16	Copper Tree Cafe	5.0	98109
17	The Burnt Coffee	5.0	98109
18	Yellow Butterfly Coffee	5.0	98109
19	Assembly	5.0	98109
20	Peloton	5.0	98109
21	Rey Amargo Chocolate Shop	4.5	98109
22	Metropolitan Cafe	4.5	98109
23	Caffe Umbria	4.5	98109
24	Cafe An'Clair	4.5	98109
25	Cafe Madeline	4.5	98109
26	PIM Bicycles and Coffeehouse	4.5	98109
27	Aroom Coffee	4.5	98109
28	Rapha - Seattle	4.5	98109
29	Hydrate Juice Bar	4.5	98109
30	Coffeemind	4.5	98109
31	Lune Cafe	4.5	98109
32	Red Arrow Coffee	4.5	98109
33	Overcast Coffee Bar	4.5	98109
34	Queen Anne Coffee	4.5	98109
35	Cafe Argento	4.5	98109
36	Monorail Espresso	4.5	98109
37	Arosa Cafe	4.5	98109
38	Monorail Espresso	4.5	98109
39	Blue Heron	4.5	98109
40	Ghost Alley Espresso	4.5	98109
41	City Grind	4.5	98109
42	Street Bean Coffee Roasters	4.5	98109
43	Realfine Coffee	4.5	98109
44	Storyville Coffee Company	4.5	98109
45	SELEUSS Chocolates	4.5	98109
46	Valentina’s Cafe	4.5	98109
47	Ada's Technical Books and Cafe	4.5	98109
48	Squirrel Chops	4.5	98109
49	Caffe Vita at KEXP	4.5	98109
50	Moore Coffee Shop	4.5	98109
1	FLEUR	5.0	98110
2	Morning Glory Chai	5.0	98110
3	ʔálʔal Cafe - By Chief Seattle Club	5.0	98110
4	Bay View Espresso	5.0	98110
5	Winnies Cafe & Deli	5.0	98110
6	Rock N Robins Espresso	5.0	98110
7	The Shop by Porter	5.0	98110
8	Dubai Cafeteria & Expresso	5.0	98110
9	Siam Clay	5.0	98110
10	Basecamp Cafe	5.0	98110
11	Cafe Vino Olio	5.0	98110
12	Animated Cafe	5.0	98110
13	The Gingerbread House Drive thru Espresso & Tea	5.0	98110
14	The Dailies	5.0	98110
15	Cup Of Jo	5.0	98110
16	Overcast Coffee Company	5.0	98110
17	Chocolat Vitale	5.0	98110
18	Seeking Kombucha	5.0	98110
19	Reality Coffee	5.0	98110
20	Avole Ethiopian Coffee	5.0	98110
21	Kappa Espresso	5.0	98110
22	Oxalis Kitchen	5.0	98110
23	Highland Park Corner Store	5.0	98110
24	The Rose Gifthouse and Coffee	5.0	98110
25	Mighty Mugs Coffee - Burien	5.0	98110
26	Dilettante Mocha Café - Plaza Center	5.0	98110
27	MOVE	5.0	98110
28	Evoke Cafe Bar	5.0	98110
29	Tab Milktea	5.0	98110
30	Lifeline Espresso	5.0	98110
31	Nevzat's Espresso	5.0	98110
32	Creamy Cone Cafe	5.0	98110
33	Mas Cafe	5.0	98110
34	Two Kick	5.0	98110
35	Cafe Alara	5.0	98110
36	Black Coffee Northwest	5.0	98110
37	Kelly Cannoli - Lake City	5.0	98110
38	Macadons	5.0	98110
39	Coping Cookies	5.0	98110
40	Coffee Tree & Bop	5.0	98110
41	Pike Street Coffee	5.0	98110
42	Cafe Corvo	5.0	98110
43	Konvene Coffee	5.0	98110
44	Pit Stop Espresso	5.0	98110
45	The Coffee Oasis	5.0	98110
46	Bangkok99 Food Truck	5.0	98110
47	Copper Tree Cafe	5.0	98110
48	The Burnt Coffee	5.0	98110
49	Cafe Red	5.0	98110
50	Resistencia Coffee	5.0	98110
